id,o,d,ta,ca,lane_level,road_type
186,80232247,80232222,7.8,2000,1,residential
187,80232247,80232222,22.2,2000,1,residential
188,80232247,80232255,4.6,2000,1,residential
189,80232255,80232220,8.1,2000,1,tertiary
190,80232255,80232220,8.1,2000,2,tertiary
191,80232255,80237506,7.2,2000,1,tertiary
192,80232255,80237506,7.2,2000,2,tertiary
193,80232255,80232181,17.9,2000,1,residential
194,80232255,80232247,4.6,2000,1,residential
195,80232289,80234551,30.9,2000,1,residential
196,80232289,1562707032,12.3,2000,1,residential
197,80232289,80232181,19.0,2000,1,residential
198,80232320,9318322952,1.0,2000,1,residential
199,80232320,80232333,19.4,2000,1,residential
200,80232320,1351702572,6.2,2000,1,secondary
201,80232333,80232347,18.1,2000,1,residential
202,80232333,80232347,11.4,2000,1,residential
203,80232333,80232320,19.4,2000,1,residential
204,80232347,2013909126,10.8,2000,1,residential
205,80232347,80232333,18.1,2000,1,residential
206,80232347,80232333,11.4,2000,1,residential
207,80232406,80232418,11.2,2000,1,residential
208,80232418,1932816606,9.4,2000,1,residential
209,80232418,80232406,11.2,2000,1,residential
210,80232418,80232426,14.8,2000,1,residential
211,80232426,1351702346,8.1,2000,1,residential
212,80232426,80289978,9.9,2000,1,residential
213,80232426,80298644,19.1,2000,1,residential
214,80232426,80232418,14.8,2000,1,residential
215,80232488,80232490,5.0,2000,1,residential
216,80232488,80290088,5.4,2000,1,residential
217,80232488,80290088,13.8,2000,1,residential
218,80232488,80289953,7.6,2000,1,residential
219,80232490,80232488,5.0,2000,1,residential
220,80232723,80236959,10.0,2000,1,residential
221,80232723,80232730,8.7,2000,1,residential
222,80232723,1351702205,12.6,2000,1,residential
223,80232730,80232801,10.1,2000,1,residential
224,80232730,1351702303,9.5,2000,1,residential
225,80232730,80232723,8.7,2000,1,residential
226,80232730,1351702269,16.7,2000,1,residential
227,80232740,1351702303,9.8,2000,1,residential
228,80232740,1351702320,5.1,2000,1,residential
229,80232740,1351702321,22.0,2000,1,residential
230,80232755,80232758,4.5,2000,1,residential
231,80232758,80232755,4.5,2000,1,residential
232,80232758,80232801,34.1,2000,1,residential
233,80232758,1351702320,24.3,2000,1,residential
234,80232758,80232808,8.8,2000,1,residential
235,80232801,80232844,8.1,2000,1,residential
236,80232801,80232730,10.1,2000,1,residential
237,80232801,80232758,34.1,2000,1,residential
238,80232808,80232819,8.2,2000,1,residential
239,80232808,80232758,8.8,2000,1,residential
240,80232808,80264869,7.1,2000,1,residential
241,80232819,80240464,3.8,2000,1,residential
242,80232819,80232844,17.9,2000,1,residential
243,80232819,80232808,8.2,2000,1,residential
244,80232844,80240594,22.8,2000,1,residential
245,80232844,80232801,8.1,2000,1,residential
246,80232844,80232819,17.9,2000,1,residential
247,80233053,80272443,5.5,2000,1,residential
248,80233053,80233055,14.1,2000,1,residential
249,80233053,80272437,7.0,2000,1,residential
250,80233055,80233053,14.1,2000,1,residential
251,80233055,11258114346,6.7,2000,1,secondary
252,80233055,11258114346,6.7,2000,2,secondary
253,80233082,1351593827,19.6,2000,1,residential
254,80233082,11258114349,8.8,2000,1,tertiary
255,80233082,11258114349,8.8,2000,2,tertiary
256,80233089,9318322966,0.7,2000,1,residential
257,80233089,80233151,13.3,2000,1,secondary
258,80233102,9318322966,22.0,2000,1,residential
259,80233102,9318322969,1.5,2000,1,residential
260,80233102,80299586,10.2,2000,1,residential
261,80233135,9276387977,0.7,2000,1,secondary
262,80233135,9276387977,0.7,2000,2,secondary
263,80233135,9276387977,51.5,2000,1,unclassified
264,80233140,1351702572,41.5,2000,1,residential
265,80233140,80289313,7.2,2000,1,secondary
266,80233151,9318322969,1.1,2000,1,residential
267,80233151,80230902,35.8,2000,1,residential
268,80233151,11225659353,10.8,2000,1,secondary
269,80233196,80235209,4.8,2000,1,residential
270,80233196,1351495811,13.9,2000,1,residential
271,80233196,80230902,20.6,2000,1,residential
272,80233212,9318322971,0.7,2000,1,residential
273,80233212,80233220,12.3,2000,1,residential
274,80233212,80233089,3.8,2000,1,secondary
275,80233220,80233222,16.0,2000,1,residential
276,80233220,80233212,12.3,2000,1,residential
277,80233220,80272634,8.3,2000,1,residential
278,80233222,80237051,9.3,2000,1,residential
279,80233222,80230889,17.4,2000,1,residential
280,80233222,80233220,16.0,2000,1,residential
281,80233623,80289464,32.4,2000,1,tertiary
282,80233623,80289464,32.4,2000,2,tertiary
283,80233623,2013909126,38.8,2000,1,residential
284,80233623,80233633,11.5,2000,1,residential
285,80233623,80289313,31.1,2000,1,tertiary
286,80233623,80289313,31.1,2000,2,tertiary
287,80233633,80233623,11.5,2000,1,residential
288,80233633,80233753,6.6,2000,1,residential
289,80233633,80233638,5.5,2000,1,residential
290,80233638,80233687,21.1,2000,1,residential
291,80233638,80233644,8.3,2000,1,residential
292,80233638,80233633,5.5,2000,1,residential
293,80233644,80233638,8.3,2000,1,residential
294,80233644,80241402,12.5,2000,1,residential
295,80233644,80233654,8.8,2000,1,residential
296,80233654,80233741,10.0,2000,1,residential
297,80233654,80233656,6.9,2000,1,residential
298,80233654,80233697,12.6,2000,1,residential
299,80233654,80233644,8.8,2000,1,residential
300,80233656,80233654,6.9,2000,1,residential
301,80233663,80289315,5.2,2000,1,residential
302,80233663,80265218,8.3,2000,1,residential
303,80233663,80265218,31.4,2000,1,residential
304,80233663,80233687,25.4,2000,1,residential
305,80233687,80233638,21.1,2000,1,residential
306,80233687,80265218,18.8,2000,1,residential
307,80233687,80233663,25.4,2000,1,residential
308,80233697,80233725,29.4,2000,1,residential
309,80233697,80265218,7.6,2000,1,residential
310,80233697,80233654,12.6,2000,1,residential
311,80233725,1351495869,12.2,2000,1,residential
312,80233725,80233697,29.4,2000,1,residential
313,80233725,2480171820,6.2,2000,1,residential
314,80233741,80233654,10.0,2000,1,residential
315,80233741,80302793,21.7,2000,1,residential
316,80233741,80233753,21.8,2000,1,residential
317,80233741,2480171820,7.5,2000,1,residential
318,80233753,80302830,8.6,2000,1,residential
